kegg	drugbank
D00130	DB00861
D08668	DB00862
D00422	DB00863
D00107	DB00864
D07156	DB00866
D02359	DB00867
D00242	DB00868
D07871	DB00869
D00452	DB00870
D07748	DB00872
D01689	DB14596
D00337	DB00874
D01044	DB00875
D04040	DB00876
D00753	DB00877
D07668	DB00878
D01199	DB00879
D00519	DB00880
D03752	DB00881
D07726	DB00882
D00516	DB00883
D08484	DB00884
D01088	DB00885
D01970	DB00886
D00247	DB00887
D07671	DB00888
D04370	DB00889
D00898	DB00890
D02434	DB00891
D08319	DB00892
D02141	DB00893
D00153	DB00894
D05729	DB00896
D00387	DB00897
D00068	DB00898
D08473	DB00899
D00296	DB00900
D07534	DB00901
D04979	DB00902
D00313	DB00903
D00456	DB00904
D02724	DB00905
D00110	DB00907
D08458	DB00908
D00538	DB00909
D00930	DB00910
D01426	DB00911
D00594	DB00912
D02941	DB00913
D08351	DB00914
D00409	DB00916
D00079	DB00917
D01332	DB00920
D07132	DB00921
D04720	DB00922
D00259	DB00923
D07758	DB00924
D00316	DB00926
D00318	DB00927
D03021	DB00928
D00419	DB00929
D04972	DB00931
D02671	DB00933
D02566	DB00934
D00097	DB00936
D07444	DB00937
D05792	DB00938
D02341	DB00939
D04435	DB00941
D00412	DB00943
D00667	DB00944
D00109	DB00945
D05457	DB00946
D01161	DB00947
D05021	DB00948
D00536	DB00949
D07958	DB00950
D00346	DB00951
D08255	DB00952
D00675	DB00953
D03865	DB00954
D08268	DB00955
D08045	DB00956
D05209	DB00957
D01363	DB00958
D00407	DB00959
D00513	DB00960
D08181	DB00961
D00530	DB00962
D07541	DB00963
D04082	DB00965
D00627	DB00966
D03693	DB00967
D08205	DB00968
D07129	DB00969
D00214	DB00970
D07483	DB00972
D01966	DB00973
D00052	DB00974
D00302	DB00975
D01078	DB00976
D00554	DB00977
D02318	DB00978
D00196	DB00981
D00348	DB00982
D07990	DB00983
D00956	DB00984
D00520	DB00985
D00540	DB00986
D00168	DB00987
D07870	DB00988
D03822	DB00989
D00963	DB00990
D00463	DB00991
D08204	DB00992
D00238	DB00993
D08260	DB00994
D00237	DB00995
D00332	DB00996
D03899	DB00997
D07997	DB00998
D00340	DB00999
D01334	DB01000
D02147	DB01001
D08116	DB01002
D07753	DB01003
D00333	DB01004
D00341	DB01005
D00964	DB01006
D00890	DB01007
D00248	DB01008
D00132	DB01009
D00410	DB01011
D03504	DB01012
D01272	DB01013
D07488	DB01014
D00447	DB01015
D00336	DB01016
D05045	DB01017
D08031	DB01018
D00630	DB01020
D00658	DB01021
D00148	DB01022
D00319	DB01023
D01828	DB01025
D00351	DB01026
D00544	DB01028
D00523	DB01029
D08618	DB01030
D00703	DB01031
D00475	DB01032
D04931	DB01033
D00646	DB01036
D03731	DB01037
D00565	DB01039
D00754	DB01041
D00369	DB01042
D08174	DB01043
D08011	DB01044
D00211	DB01045
D04790	DB01046
D00325	DB01047
D07057	DB01048
D02268	DB01049
D00126	DB01050
D02336	DB01053
D00629	DB01054
D06172	DB01056
D02193	DB01057
D00471	DB01058
D00210	DB01059
D07452	DB01060
D02339	DB01061
D00465	DB01062
D08170	DB01065
D01628	DB01066
D00335	DB01067
D00280	DB01068
D00494	DB01069
D00299	DB01070
D01324	DB01071
D07471	DB01072
D01907	DB01073
D00300	DB01075
D07474	DB01076
D02373	DB01077
D01240	DB01078
D06056	DB01079
D00535	DB01080
D00301	DB01081
D07890	DB01084
D00525	DB01085
D00552	DB01086
D08194	DB01089
D07596	DB01091
D00112	DB01092
D01043	DB01093
D07983	DB01095
D00460	DB01096
D00749	DB01097
D08492	DB01098
D00323	DB01099
D00560	DB01100
D01223	DB01101
D02976	DB01102
D08179	DB01103
D02360	DB01104
D08513	DB01105
D01717	DB01106
D01150	DB01107
D01180	DB01108
D00882	DB01110
D00262	DB01112
D07425	DB01113
D07398	DB01114
D00437	DB01115
D00236	DB01117
D02910	DB01118
D00294	DB01119
D01599	DB01120
