drug	uniprot
DB00114 	 O95470
DB00114 	 P17735
DB00114 	 Q16773
DB00114 	 O15270
DB00114 	 Q9Y600
DB00114 	 P19113
DB00114 	 Q96A70
DB00114 	 P20132
DB00114 	 O75600
DB00114 	 P23378
DB00114 	 P24298
DB00114 	 Q9Y617
DB00114 	 P13196
DB00114 	 P21549
DB00114 	 Q96GD0
DB00114 	 O15269
DB00114 	 P32929
DB00114 	 P54687
DB00114 	 O15382
DB00114 	 O94903
DB00114 	 P00505
DB00114 	 P11216
DB00114 	 P11217
DB00114 	 P20711
DB00114 	 Q2TU84
DB00114 	 Q53ET4
DB00114 	 Q59FK2
DB00114 	 Q59GM9
DB00114 	 Q5JAM2
DB00114 	 Q5VZ30
DB00114 	 Q6IBS8
DB00114 	 Q6YP21
DB00114 	 Q6ZQY3
DB00114 	 Q96I15
DB00114 	 Q6WRI0
DB00114 	 Q8IUZ5
DB00114 	 Q8IVA8
DB00114 	 P34897
DB00114 	 P22557
DB00114 	 Q8TD30
DB00114 	 Q96EN8
DB00114 	 Q96GA7
DB00114 	 Q9BXA1
DB00114 	 Q9GZT4
DB00114 	 Q9HD40
DB00114 	 Q9NUV7
DB00114 	 Q9UGI5
DB00114 	 Q9UJX1
DB00115 	 Q99707
DB00115 	 P22033
DB00115 	 Q9UBK8
DB00115 	 Q8IVH4
DB00115 	 Q9Y4U1
DB00115 	 P42898
DB00116 	 P11586
DB00116 	 P13995
DB00116 	 P48728
DB00116 	 O75891
DB00116 	 Q99707
DB00116 	 O95954
DB00116 	 P31939
DB00116 	 P34896
DB00116 	 P34897
DB00116 	 P42898
DB00116 	 Q53ET4
DB00116 	 Q96DP5
DB00117 	 P19113
DB00117 	 P12081
DB00117 	 Q99624
DB00117 	 P42357
DB00118 	 Q14749
DB00118 	 P17707
DB00118 	 P31153
DB00118 	 P35520
DB00118 	 Q00266
DB00118 	 P21964
DB00118 	 Q8N1G2
DB00118 	 Q9HBK9
DB00119 	 O15427
DB00119 	 P36021
DB00119 	 Q9BYV1
DB00119 	 O15375
DB00119 	 P30613
DB00119 	 O15403
DB00119 	 O60669
DB00119 	 P11177
DB00119 	 P14618
DB00119 	 P80404
DB00119 	 O15374
DB00119 	 O95907
DB00119 	 P53985
DB00119 	 P11498
DB00120 	 P17735
DB00120 	 Q9UHI5
DB00120 	 Q9Y285
DB00120 	 P00439
DB00120 	 O95363
DB00120 	 Q9NSD9
DB00120 	 P07101
DB00121 	 P05166
DB00121 	 P50747
DB00121 	 Q9HCC0
DB00121 	 O00763
DB00121 	 Q96RQ3
DB00121 	 P11498
DB00121 	 P05165
DB00121 	 Q13085
DB00122 	 Q9Y5K3
DB00122 	 P22303
DB00122 	 P49585
DB00122 	 O14939
DB00122 	 P06276
DB00122 	 Q13393
DB00122 	 Q8TCT1
DB00122 	 P36544
DB00123 	 P30825
DB00123 	 O43246
DB00123 	 Q8WY07
DB00123 	 P52569
DB00123 	 Q15046
DB00125 	 P29474
DB00125 	 Q8WY07
DB00125 	 Q96A70
DB00125 	 P04424
DB00125 	 P35228
DB00125 	 P30825
DB00125 	 P78540
DB00125 	 O43246
DB00125 	 P00966
DB00126 	 Q54873
DB00126 	 P24300
DB00126 	 O00469
DB00126 	 O14832
DB00126 	 O60568
DB00126 	 O75936
DB00126 	 P09172
DB00126 	 P19021
DB00126 	 Q32P28
DB00126 	 Q8IVL5
DB00126 	 Q8IVL6
DB00126 	 P13674
DB00126 	 Q8N543
DB00126 	 Q6N063
DB00126 	 Q6NS38
DB00126 	 Q96Q83
DB00126 	 Q9BY66
DB00126 	 Q02809
DB00126 	 Q9NVH6
DB00126 	 Q9NXG6
DB00126 	 Q9GZT9
DB00126 	 Q96KS0
DB00126 	 Q9H6Z9
DB00127 	 P52788
DB00127 	 Q9NWM0
DB00127 	 P11926
DB00127 	 P41180
DB00127 	 P08588
DB00127 	 P07550
DB00128 	 P07998
DB00128 	 P61626
DB00128 	 Q9UJS0
DB00128 	 P17174
DB00128 	 P45381
DB00128 	 P08243
DB00128 	 P00966
DB00128 	 Q03154
DB00128 	 P00505
DB00128 	 P14868
DB00128 	 O75746
DB00128 	 Q12797
DB00128 	 P22234
DB00128 	 P30520
DB00128 	 P43005
DB00128 	 Q5T6L4
DB00128 	 Q6PI48
DB00128 	 Q7L266
DB00128 	 Q8N142
DB00129 	 P04181
DB00129 	 P00480
DB00129 	 P05089
DB00129 	 P54368
DB00129 	 P30825
DB00129 	 P52569
DB00129 	 Q9BXI2
DB00129 	 P78540
DB00129 	 Q9Y619
DB00129 	 P50440
DB00130 	 P17812
DB00130 	 Q06203
DB00130 	 P15104
DB00131 	 P16220
DB00131 	 Q07343
DB00131 	 Q9Y478
DB00131 	 P49773
DB00131 	 Q08499
DB00131 	 Q9NR19
DB00131 	 Q13131
DB00131 	 Q08828
DB00131 	 P33121
DB00131 	 P09467
DB00131 	 P55263
DB00131 	 Q13131
DB00132 	 O60427
DB00132 	 O95864
DB00132 	 P32418
DB00132 	 Q8NER1
DB00132 	 Q07869
DB00132 	 Q96RI1
DB00132 	 Q03181
DB00132 	 P37231
DB00132 	 P19793
DB00132 	 Q9NXB9
DB00132 	 Q9NYP7
DB00133 	 P35520
DB00133 	 P20132
DB00133 	 Q9GZT4
DB00133 	 O15270
DB00133 	 O15269
DB00133 	 P49591
DB00133 	 P21549
DB00134 	 Q9UBK8
DB00134 	 Q99707
DB00134 	 P50579
DB00134 	 Q93088
DB00134 	 Q9H2M3
DB00135 	 P07101
DB00135 	 Q9Y2Z4
DB00135 	 P54577
DB00135 	 P17735
DB00136 	 P11473
DB00136 	 P31260
DB00138 	 Q9UPY5
DB00138 	 O60931
DB00139 	 Q9BXA5
DB00139 	 P51649
DB00140 	 Q969G6
DB00140 	 P0AFU8
DB00140 	 P30043
DB00141 	 P15291
DB00141 	 O60513
DB00141 	 Q9UJ70
DB00141 	 Q9UK23
DB00141 	 P54802
DB00141 	 P51606
DB00142 	 Q13255
DB00142 	 Q14833
DB00142 	 Q16099
DB00142 	 Q16478
DB00142 	 Q14831
DB00142 	 O00222
DB00142 	 O00341
DB00142 	 O14841
DB00142 	 O15067
DB00142 	 O15382
DB00142 	 O15399
DB00142 	 O94925
DB00142 	 P00505
DB00142 	 P07814
DB00142 	 P08243
DB00142 	 P15104
DB00142 	 P17174
DB00142 	 P17735
DB00142 	 P24298
DB00142 	 P38435
DB00142 	 P43003
DB00142 	 P43004
DB00142 	 P43005
DB00142 	 P48506
DB00142 	 P48664
DB00142 	 P49448
DB00142 	 P49915
DB00142 	 P54687
DB00142 	 P80404
DB00142 	 Q05586
DB00142 	 Q05932
DB00142 	 Q07075
DB00142 	 Q12879
DB00142 	 Q13224
DB00142 	 Q14957
DB00142 	 Q2TU84
DB00142 	 Q5JPH6
DB00142 	 Q6IA69
DB00142 	 Q8N159
DB00142 	 Q8N5Z0
DB00142 	 Q8TCU5
DB00142 	 Q8TD30
DB00142 	 Q9UDR5
DB00142 	 Q9UI32
DB00142 	 Q9ULA0
DB00142 	 Q9UPY5
DB00142 	 Q9Y646
DB00142 	 Q9Y617
DB00142 	 P00367
DB00142 	 P39086
DB00142 	 P42261
DB00142 	 P48507
DB00142 	 Q04609
DB00142 	 Q05329
DB00142 	 Q99259
DB00142 	 O95954
DB00142 	 P42262
DB00142 	 P42263
DB00142 	 P48058
DB00142 	 P54886
DB00142 	 Q13002
DB00142 	 Q13003
DB00143 	 O14880
DB00143 	 O60760
DB00143 	 P08263
DB00143 	 P09210
DB00143 	 P10620
DB00143 	 P10768
DB00143 	 P19440
DB00143 	 P28161
DB00143 	 P35754
DB00143 	 P36969
DB00143 	 P46439
DB00143 	 P59796
DB00143 	 Q16775
DB00143 	 Q6NSD4
DB00143 	 Q96SL4
DB00143 	 Q99735
DB00143 	 Q9H4Y5
DB00143 	 Q9NS18
DB00143 	 Q04760
DB00143 	 Q16873
DB00143 	 P00390
DB00143 	 P48637
DB00143 	 P09488
DB00143 	 Q9Y2Q3
DB00143 	 Q16772
DB00143 	 P21266
DB00143 	 O15217
DB00143 	 Q03013
DB00143 	 Q7RTV2
DB00143 	 P09211
DB00143 	 P78417
DB00143 	 P07203
DB00143 	 P18283
DB00143 	 P30711
DB00143 	 O43708
DB00143 	 O75715
DB00143 	 P22352
DB00143 	 P15121
DB00143 	 P14780
DB00143 	 P08684
DB00143 	 O75715
DB00144 	 P49619
DB00144 	 Q16760
DB00144 	 Q9BVG9
DB00144 	 Q9NXE4
DB00144 	 Q9NY59
DB00144 	 Q9Y2Q0
DB00144 	 P17252
DB00144 	 P48651
DB00144 	 Q9UG56
DB00144 	 Q8WTV0
DB00145 	 O75600
DB00145 	 P13196
DB00145 	 P22557
DB00145 	 P41250
DB00145 	 Q12879
DB00145 	 Q14032
DB00145 	 Q14330
DB00145 	 P48637
DB00145 	 Q14957
DB00145 	 Q53ET4
DB00145 	 Q6IB77
DB00145 	 P34897
DB00145 	 Q8WU03
DB00145 	 Q969I3
DB00145 	 Q9BYV1
DB00145 	 Q9P0Z9
DB00145 	 O60391
DB00145 	 P23415
DB00145 	 P21549
DB00145 	 P48167
DB00145 	 P34896
DB00145 	 O75311
DB00145 	 P23416
DB00145 	 Q14749
DB00145 	 P50440
DB00146 	 P11473
DB00147 	 O00764
DB00148 	 P06732
DB00148 	 P12532
DB00148 	 P12277
DB00148 	 P17540
DB00148 	 P48029
DB00148 	 Q14353
DB00149 	 Q15031
DB00149 	 O15382
DB00149 	 P54687
DB00149 	 O60294
DB00149 	 Q9UIC8
DB00149 	 Q9P2J5
DB00150 	 Q9UGM6
DB00150 	 P00953
DB00150 	 P23381
DB00151 	 P48507
DB00151 	 P48506
DB00151 	 P17174
DB00151 	 P00505
DB00151 	 P32929
DB00151 	 P35520
DB00151 	 P49589
DB00151 	 P16455
DB00151 	 P48637
DB00151 	 Q9HA77
DB00151 	 Q9Y600
DB00151 	 Q9Y697
DB00151 	 Q16878
DB00152 	 Q9H3S4
DB00153 	 P11473
DB00153 	 Q06432
DB00154 	 P23219
DB00154 	 P35354
DB00155 	 P00966
DB00155 	 O95865
DB00155 	 Q5T6L4
DB00155 	 O94760
DB00155 	 P00480
DB00155 	 P29475
DB00155 	 P35228
DB00155 	 P29474
DB00155 	 Q6TGC4
DB00155 	 Q9ULC6
DB00155 	 Q9ULW8
DB00155 	 Q9Y2J8
DB00155 	 Q9UM07
DB00156 	 P26639
DB00156 	 Q9BW92
DB00157 	 O60701
DB00157 	 P07327
DB00157 	 Q00796
DB00157 	 P08319
DB00157 	 P00326
DB00157 	 P00325
DB00157 	 P40394
DB00157 	 P21695
DB00157 	 Q6ZMR3
DB00157 	 P11766
DB00157 	 P15121
DB00157 	 Q99714
DB00157 	 P40926
DB00157 	 P00338
DB00157 	 P23368
DB00157 	 P51659
DB00157 	 Q9BYZ2
DB00157 	 P07864
DB00157 	 P07195
DB00157 	 Q08426
DB00157 	 Q16836
DB00157 	 Q16798
DB00157 	 Q02338
DB00157 	 P40925
DB00157 	 P31937
DB00157 	 P37058
DB00157 	 P04035
DB00157 	 P48163
DB00157 	 O43175
DB00157 	 P56937
DB00157 	 P51553
DB00157 	 O43837
DB00157 	 P50213
DB00157 	 P14061
DB00157 	 P37059
DB00157 	 Q92781
DB00157 	 O95479
DB00157 	 Q92506
DB00157 	 P17516
DB00157 	 P12268
DB00157 	 P42330
DB00157 	 P15428
DB00157 	 Q13630
DB00157 	 Q04828
DB00157 	 P28845
DB00157 	 P26439
DB00157 	 P14060
DB00157 	 P20839
DB00157 	 P40939
DB00157 	 P05091
DB00157 	 P80365
DB00157 	 P52895
DB00157 	 Q15738
DB00157 	 P48448
DB00157 	 Q02252
DB00157 	 P30838
DB00157 	 P00352
DB00157 	 O14556
DB00157 	 P49189
DB00157 	 P47895
DB00157 	 P30837
DB00157 	 P43353
DB00157 	 P04406
DB00157 	 O94788
DB00157 	 P51648
DB00157 	 P51649
DB00157 	 P49419
DB00157 	 P30043
DB00157 	 Q96C36
DB00157 	 P32322
DB00157 	 P00367
DB00157 	 P11177
DB00157 	 P29803
DB00157 	 P08559
DB00157 	 P53004
DB00157 	 P16219
DB00157 	 P00374
DB00157 	 Q02218
DB00157 	 P49448
DB00157 	 Q9UBM7
DB00157 	 P16083
DB00157 	 P03891
DB00157 	 Q9UDR5
DB00157 	 P03897
DB00157 	 O75251
DB00157 	 P11586
DB00157 	 P13995
DB00157 	 P30038
DB00157 	 P00387
DB00157 	 Q86Y39
DB00157 	 P03905
DB00157 	 P09417
DB00157 	 P03886
DB00157 	 Q13423
DB00157 	 Q16718
DB00157 	 Q16795
DB00157 	 P03901
DB00157 	 O95299
DB00157 	 O95182
DB00157 	 O15239
DB00157 	 P03923
DB00157 	 P03915
DB00157 	 O00483
DB00157 	 P56556
DB00157 	 O14561
DB00157 	 O43678
DB00157 	 P51970
DB00157 	 O95167
DB00157 	 O95169
DB00157 	 O95298
DB00157 	 O75438
DB00157 	 P28331
DB00157 	 O96000
DB00157 	 O95168
DB00157 	 O43676
DB00157 	 O95178
DB00157 	 P17568
DB00157 	 Q9Y6M9
DB00157 	 O75306
DB00157 	 O43674
DB00157 	 O43677
DB00157 	 O95139
DB00157 	 P56181
DB00157 	 P09622
DB00157 	 O75489
DB00157 	 P00390
DB00157 	 Q9UI09
DB00157 	 O43920
DB00157 	 O43181
DB00157 	 P49821
DB00157 	 P19404
DB00157 	 Q9P0J0
DB00157 	 Q16878
DB00157 	 O75380
DB00157 	 Q9NRX3
DB00157 	 O00217
DB00157 	 Q02928
DB00157 	 P10515
DB00157 	 P48728
DB00157 	 Q15800
DB00157 	 P09601
DB00157 	 P30519
DB00157 	 P05093
DB00157 	 P14679
DB00158 	 P41439
DB00158 	 P14207
DB00158 	 P15328
DB00159 	 P35354
DB00159 	 P23219
DB00159 	 P37231
DB00159 	 Q03181
DB00159 	 O60427
DB00159 	 O60488
DB00159 	 O14842
DB00159 	 P32418
DB00159 	 Q8NER1
DB00159 	 Q07869
DB00160 	 P21549
DB00160 	 P80404
DB00160 	 Q16719
DB00160 	 Q5JTZ9
DB00160 	 Q8IUZ5
DB00160 	 Q8TD30
DB00160 	 P24298
DB00160 	 Q9Y697
DB00160 	 Q7Z2H8
DB00160 	 Q9UHI5
DB00160 	 Q9BYV1
DB00160 	 P49588
DB00160 	 P43007
DB00161 	 P05166
DB00161 	 P54687
DB00161 	 P26640
DB00162 	 Q96NR8
DB00162 	 O75911
DB00162 	 P47895
DB00162 	 Q6NUM9
DB00162 	 Q8TC12
DB00162 	 Q9BTZ2
DB00162 	 Q9HBH5
DB00162 	 Q9NYR8
DB00162 	 O95237
DB00162 	 Q92781
DB00162 	 Q8NBN7
DB00162 	 O94788
DB00162 	 P00352
DB00162 	 P05090
DB00162 	 P41222
DB00163 	 O75469
DB00163 	 P05771
DB00163 	 P09917
DB00163 	 P17252
DB00163 	 P23743
DB00163 	 P62714
DB00163 	 P67775
DB00163 	 Q9UDX3
DB00163 	 Q9UDX4
DB00163 	 O76054
DB00165 	 O00764
DB00166 	 Q9Y234
DB00166 	 O43766
DB00166 	 Q9Y289
DB00167 	 Q9NSE4
DB00167 	 P45954
DB00167 	 P54687
DB00167 	 O15382
DB00167 	 P41252
DB00168 	 Q8NER1
DB00168 	 Q8TE23
DB00168 	 Q7RTX0
DB00169 	 P11473
DB00170 	 P38435
DB00170 	 Q9BQB6
DB00170 	 Q8N0U8
DB00170 	 P00734
DB00170 	 P00740
DB00170 	 P04070
DB00170 	 P07225
DB00170 	 P16083
DB00170 	 P15559
DB00170 	 P02818
DB00171 	 P42684
DB00171 	 P08183
DB00171 	 P45844
DB00171 	 Q92887
DB00171 	 O95477
DB00171 	 Q9NR19
DB00171 	 Q9UM73
DB00171 	 Q13564
DB00171 	 Q13131
DB00171 	 P10398
DB00171 	 P37023
DB00171 	 P33121
DB00171 	 P49902
DB00171 	 O43681
DB00171 	 O60706
DB00171 	 P31749
DB00171 	 P25098
DB00171 	 O14727
DB00171 	 Q9NUB1
DB00171 	 P36896
DB00171 	 Q04771
DB00171 	 O95342
DB00171 	 P08243
DB00171 	 Q96Q40
DB00171 	 P12235
DB00171 	 Q09428
DB00171 	 P00966
DB00171 	 Q9Y4W6
DB00171 	 P35626
DB00171 	 Q16671
DB00171 	 Q07912
DB00171 	 P00519
DB00171 	 Q08828
DB00171 	 O95255
DB00171 	 O15439
DB00171 	 P33527
DB00171 	 P13569
DB00171 	 P42336
DB00171 	 P68400
DB00171 	 P67870
DB00171 	 Q96G91
DB00171 	 P53041
DB00172 	 O15460
DB00172 	 O43272
DB00172 	 O43447
DB00172 	 O94903
DB00172 	 P13674
DB00172 	 P23284
DB00172 	 P30405
DB00172 	 P45877
DB00172 	 P62937
DB00172 	 Q13427
DB00172 	 Q32P28
DB00172 	 Q4W8W1
DB00172 	 Q7L3T8
DB00172 	 Q8IVL5
DB00172 	 Q8IVL6
DB00172 	 Q53H96
DB00172 	 Q96EM0
DB00172 	 P32322
DB00172 	 P07814
DB00172 	 Q9UN76
DB00172 	 Q99884
DB00172 	 Q96C36
DB00173 	 P07741
DB00173 	 P0AF12
DB00173 	 O00763
DB00173 	 P24666
DB00173 	 Q9BY49
DB00173 	 P17802
DB00173 	 Q8RLY5
DB00173 	 P78362
DB00173 	 Q5SL87
DB00173 	 Q13126
DB00173 	 Q05603
DB00174 	 Q15758
DB00174 	 Q7L266
DB00174 	 Q96I59
DB00174 	 P08243
DB00174 	 O43776
DB00174 	 Q9H2H9
DB00175 	 P04035
DB00175 	 Q92769
DB00176 	 P31645
DB00176 	 Q12809
DB00177 	 P30556
DB00178 	 P12821
DB00178 	 P46663
DB00179 	 P09917
DB00179 	 P04278
DB00180 	 P04150
DB00181 	 Q9UBS5
DB00181 	 O75899
DB00182 	 Q05940
DB00182 	 Q01959
DB00182 	 Q16568
DB00182 	 Q96RJ0
DB00182 	 P23975
DB00182 	 P35348
DB00182 	 P08588
DB00182 	 P14416
DB00182 	 P27338
DB00182 	 P31645
DB00182 	 P21397
DB00182 	 Q99870
DB00183 	 P32239
DB00184 	 P43681
DB00184 	 P36544
DB00184 	 P17787
DB00184 	 Q15822
DB00184 	 P32297
DB00184 	 P30532
DB00184 	 Q15825
DB00184 	 Q9UGM1
DB00184 	 Q9GZZ6
DB00184 	 Q05901
DB00184 	 P30926
DB00184 	 P11511
DB00184 	 P28329
DB00185 	 P20309
DB00185 	 P11229
DB00186 	 P14867
DB00186 	 P14867
DB00187 	 P08588
DB00188 	 P28074
DB00188 	 P20618
DB00189 	 P14867
DB00190 	 P20711
DB00191 	 P23975
DB00191 	 P31645
DB00191 	 Q01959
DB00191 	 P21397
DB00191 	 P27338
DB00191 	 P01303
DB00192 	 Q14524
DB00193 	 P35372
DB00193 	 P23975
DB00193 	 P31645
DB00193 	 P28335
DB00193 	 P41145
DB00193 	 P41143
DB00193 	 Q693P7
DB00193 	 P20309
DB00193 	 P11229
DB00193 	 P25103
DB00193 	 Q99250
DB00193 	 Q8NER1
DB00193 	 Q05586
DB00193 	 P30542
DB00193 	 P08913
DB00194 	 P04293
DB00194 	 P09250
DB00194 	 Q9QNF7
DB00195 	 P08588
DB00195 	 P07550
DB00196 	 P10613
DB00197 	 P37231
DB00197 	 O60488
DB00197 	 P05121
DB00197 	 Q99808
DB00197 	 P62508
DB00197 	 P11474
DB00197 	 Q03181
DB00197 	 Q07869
DB00197 	 P09211
DB00198 	 P11485
DB00198 	 Q99519
DB00198 	 Q9Y3R4
DB00199 	 O43193
DB00199 	 Q12809
DB00200 	 Q99707
DB00200 	 P22033
DB00200 	 Q8IVH4
DB00200 	 P20061
DB00200 	 Q9BXJ7
DB00200 	 O60494
DB00200 	 Q9Y4U1
DB00201 	 P30542
DB00201 	 Q07343
DB00201 	 P29274
DB00201 	 P21817
DB00201 	 P54750
DB00201 	 P78527
DB00201 	 O00329
DB00201 	 P42336
DB00201 	 P42338
DB00201 	 Q14643
DB00201 	 Q13315
DB00201 	 P29275
DB00201 	 P0DMS8
DB00201 	 Q01064
DB00202 	 Q9GZZ6
DB00202 	 Q693P7
DB00202 	 P11229
DB00202 	 P08172
DB00202 	 P20309
DB00203 	 O76074
DB00203 	 P18545
DB00203 	 Q13956
DB00204 	 Q12809
DB00204 	 O95069
DB00204 	 Q14500
DB00205 	 P00374
DB00205 	 P13922
DB00205 	 P07686
DB00206 	 Q05940
DB00206 	 P54219
DB00206 	 O15392
DB00207 	 Q9UM07
DB00208 	 Q9H244
DB00209 	 P11229
DB00209 	 P20309
DB00210 	 P10826
DB00210 	 P13631
DB00210 	 P28702
DB00210 	 P48443
DB00210 	 P19793
DB00210 	 P05412
DB00210 	 O60603
DB00210 	 P10276
DB00210 	 P17174
DB00211 	 P35348
DB00211 	 P35368
DB00211 	 P25100
DB00212 	 P00797
DB00213 	 P20648
DB00213 	 O94760
DB00214 	 Q13621
DB00214 	 P55011
